a,b,ratio,sd_q,sd_lb,b_budget,drop_DUB,drop_HTA,sd_qz
BAR,ZAL,0.741124176800007,10.012169028885817,0.44051997450459474,0.36709351513207955,0,0,0.6721565780812854
BAS,DUB,0.8329552749128112,10.016980995929384,0.43232540268261715,0.28774285348797396,1,0,0.6804608760976508
BAS,HTA,0.8473876027873632,10.123907572736638,0.4280574248507838,0.2523037865049631,0,1,0.8649904357637526
BAS,IST,0.725732450749947,9.600120608390192,0.43738066356091465,0.3724458646291618,0,0,-0.038939913226308936
BAS,MAD,0.8395288066582218,9.612595326742706,0.4329746288965395,0.2712164095233953,0,0,-0.017411549060142497
BAS,MCO,0.8327763985868415,10.098091987423933,0.4399610333125955,0.2705887876857452,0,0,0.8204389432114081
BAS,MIL,0.8281675717639572,10.166727639129036,0.4399610333125955,0.27667383925133404,0,0,0.9388875737082866
BAS,MUN,0.8418692879070229,9.771511465324373,0.43043220767794965,0.27598459366454875,0,0,0.25683949265395756
BAS,OLY,0.8507586702791139,8.963113431953236,0.4197922975306669,0.2775464289004203,0,0,-1.1382611229939055
BAS,PAM,0.7550652503355731,10.054952577154467,0.433114969827843,0.3630240714091853,0,0,0.7459906945254938
BAS,PAN,0.8345380228751924,10.14890002021686,0.4024008356729263,0.26322427079507094,0,0,0.9081213903515629
BAS,PAR,0.8184487433800838,9.847626212073274,0.4395284605472015,0.2738775000418139,0,0,0.3881952427495574
BAS,PRS,0.8839514527830304,10.171735583904397,0.4230464262422464,0.18251122908390494,0,0,0.9475300821643026
BAS,RED,0.8373276811784323,10.151267766402853,0.43642435879171454,0.266526028177643,0,0,0.9122075509128412
BAS,TEL,0.8387789608127804,10.186515693210403,0.43184633338508377,0.25622269022568517,0,0,0.9730369967545872
BAS,ULK,0.8950053110242152,10.04226003110393,0.43642435879171454,0.17456192608712764,0,0,0.7240864121320806
BAS,VIR,0.8673247036046472,10.154973780903441,0.4230464262422464,0.21895010197274092,0,0,0.9186032407808759
BAS,ZAL,0.7711693392320874,10.041256299942425,0.4288600715650952,0.3280523478444757,0,0,0.7223542135076954
DUB,HTA,0.8107979801045894,9.940371573217291,0.42836893653866476,0.3274280839611888,1,1,0.5482514342409317
DUB,IST,0.6794005034843648,9.460904020421093,0.43888519616923055,0.44479191374186106,1,0,-0.27919426759943106
DUB,MAD,0.8074021710063898,9.392180043079643,0.4338169871325898,0.345552507499311,1,0,-0.39779532690558406
DUB,MCO,0.7969471217806318,9.911677960084965,0.4422114335154013,0.342942876062531,1,0,0.49873315773160315
DUB,MIL,0.7902199910218193,10.004211559844459,0.4422114335154013,0.3500650888851212,1,0,0.6584238999941028
DUB,MUN,0.8086047156155729,9.62857016043937,0.43527426769928024,0.34659820961542637,1,0,0.010157172541207422
DUB,OLY,0.8259833996233216,8.707243770778263,0.4194009051660353,0.35461961196507097,1,0,-1.5798306309530274
DUB,PAM,0.7196811855580445,9.864382370847563,0.43761896910738174,0.43083861909080445,1,0,0.41711234355498633
DUB,PAN,0.7931098350503566,9.968668812730222,0.40084673031481477,0.3450161032098877,1,0,0.5970856651964397
DUB,PAR,0.7765497741686554,9.702634288776013,0.44158267492987424,0.346961334716896,1,0,0.13797404835544477
DUB,PRS,0.8308499386841348,9.995534161881938,0.42865872553090995,0.27582271419079135,1,0,0.6434487977053819
